date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2021-12-23,1.3812154696132597,1.2809,114.42,0.9186,0.7457121551081283
2021-12-24,,,,,
2021-12-27,1.3815971262779774,1.2797,114.85,0.9175,0.7441583568983479
2021-12-28,1.3825521913452232,1.2814,114.75,0.9167,0.7444907683144729
2021-12-29,1.3810247203424941,1.281,114.97,0.9149,0.7421150278293136
2021-12-30,1.3774104683195594,1.2777,115.17,0.9146,0.7407407407407407
2021-12-31,,,,,
2022-01-03,1.389854065323141,1.2757,115.27,0.9188,0.7424456158586383
2022-01-04,1.3810247203424941,1.2697,116.12,0.9154,0.7383343177790903
2022-01-05,1.3774104683195594,1.27,115.91,0.9161,0.7367567965814484
2022-01-06,1.3950892857142858,1.2725,115.78,0.9196,0.738606987222099
2022-01-07,1.3915947676036737,1.2643,115.61,0.9191,0.7362143856290951
2022-01-10,1.394700139470014,1.2679,115.14,0.9252,0.7370826269624825
2022-01-11,1.3892747985551541,1.2598,115.38,0.9237,0.7341065922771987
2022-01-12,1.374192661811186,1.2501,114.74,0.9134,0.7300335815447511
2022-01-13,1.3700506918755995,1.2482,114.06,0.9102,0.728650539201399
2022-01-14,1.3846579894765993,1.2549,113.89,0.9133,0.731528895391368
2022-01-17,,,,,
2022-01-18,1.391207568169171,1.2535,114.6,0.9168,0.7359434795407712
2022-01-19,1.383891502906172,1.2499,114.28,0.9155,0.7339449541284403
2022-01-20,1.3762730525736306,1.2462,114.08,0.9157,0.7330303474563846
2022-01-21,1.3890818169190167,1.2542,113.72,0.912,0.737354372511429
2022-01-24,1.4082523588227012,1.2688,113.82,0.9146,0.7436602959767978
2022-01-25,1.4009526478005043,1.2637,113.88,0.9194,0.7410151908114117
2022-01-26,1.3952839402818473,1.2597,114.33,0.9213,0.7398638650488311
2022-01-27,1.4196479273140261,1.2709,115.47,0.9318,0.7471049682480388
2022-01-28,1.4289797084881395,1.2753,115.21,0.9298,0.7453230975627936
2022-01-31,1.4156285390713477,1.2694,115.22,0.9303,0.7441029838529652
2022-02-01,1.4064697609001406,1.2688,114.77,0.9231,0.7404664938911514
2022-02-02,1.4035087719298245,1.2689,114.36,0.9186,0.7371913011426465
2022-02-03,1.3999720005599887,1.2679,114.88,0.9213,0.7351860020585208
2022-02-04,1.4150275930380642,1.2759,115.22,0.9248,0.7383888355608063
2022-02-07,1.4062719729995783,1.2685,115.09,0.9243,0.7389344565137073
2022-02-08,1.401934669844385,1.2709,115.62,0.9244,0.7378984651711925
2022-02-09,1.3921759710427397,1.2675,115.44,0.9233,0.7385524372230428
2022-02-10,1.3802622498274673,1.2647,115.84,0.923,0.7333528894103843
2022-02-11,1.3933398355858995,1.2678,115.91,0.9255,0.7352400558782441
2022-02-14,1.4031149151115476,1.2732,115.72,0.9265,0.7398638650488311
2022-02-15,1.3982102908277405,1.2742,115.64,0.9258,0.738606987222099
2022-02-16,1.3921759710427397,1.2687,115.41,0.9219,0.736105999263894
2022-02-17,1.389854065323141,1.2696,115.03,0.9202,0.733998825601879
2022-02-18,1.3939224979091163,1.2748,115.08,0.921,0.736105999263894
2022-02-21,,,,,
2022-02-22,1.383891502906172,1.2736,114.94,0.9204,0.735456350665588
2022-02-23,1.3802622498274673,1.2717,115.12,0.9179,0.7377351530800443
2022-02-24,1.401934669844385,1.284,115.45,0.9266,0.748502994011976
2022-02-25,1.3854253255749516,1.274,115.62,0.9274,0.7458790184232118
2022-02-28,1.3772207684891888,1.2662,115.11,0.9179,0.7452120128176466
2022-03-01,1.379690949227373,1.2709,114.87,0.9186,0.7508634930169694
2022-03-02,1.3732491073880804,1.2657,115.59,0.9216,0.7482229704451927
2022-03-03,1.367053998632946,1.2675,115.67,0.9204,0.75041272699985
2022-03-04,1.358326541700625,1.276,114.65,0.9183,0.7567731194187983
2022-03-07,1.3659336156262807,1.2772,115.41,0.9267,0.7624857033930613
2022-03-08,1.3770311209033326,1.2893,115.64,0.9302,0.7633005114113426
2022-03-09,1.365560562610952,1.2812,115.87,0.9264,0.7598784194528875
2022-03-10,1.3585110718652358,1.2772,116.05,0.9294,0.7628928898382668
2022-03-11,1.3683634373289546,1.2723,117.08,0.9326,0.7655209369976269
2022-03-14,1.3835085777531821,1.2774,118,0.9358,0.7666360012266176
2022-03-15,1.3896609227348526,1.2806,118.19,0.9415,0.7654037504783774
2022-03-16,1.3791201213625708,1.2742,118.48,0.9414,0.7635919364691508
2022-03-17,1.353546291283162,1.2637,118.45,0.9349,0.7599361653621095
2022-03-18,1.3509862199405567,1.2633,119.17,0.9337,0.7593591009188245
2022-03-21,1.3478905512872354,1.258,119.15,0.9303,0.7575183698204682
2022-03-22,1.3444474321054047,1.2604,120.66,0.9325,0.754261577915221
2022-03-23,1.3336889837289942,1.2555,121.02,0.9318,0.7568876778686043
2022-03-24,1.3324450366422387,1.2532,122.08,0.9308,0.758552681483729
2022-03-25,1.3331555792560992,1.2512,121.98,0.9308,0.7579777154551657
2022-03-28,1.3363624214887078,1.255,123.25,0.9344,0.7638835841417768
2022-03-29,1.3329778725673154,1.2513,122.61,0.9303,0.7619047619047619
2022-03-30,1.3319126265316994,1.2495,121.97,0.9233,0.7605141075366948
2022-03-31,1.3335111348179758,1.2482,121.44,0.9211,0.7603406326034063
2022-04-01,1.3345789403443213,1.2507,122.6,0.9256,0.7625438462711607
2022-04-04,1.3246787653993906,1.2491,122.7,0.9256,0.7624275693809087
2022-04-05,1.3161358252171624,1.2452,123.48,0.9292,0.7633005114113426
2022-04-06,1.3259082471492973,1.2502,123.7,0.9325,0.7644091117566121
2022-04-07,1.3383297644539616,1.2592,123.8,0.9332,0.7656967840735068
2022-04-08,1.3403029084573115,1.2577,124.31,0.9333,0.7673419275629221
2022-04-11,1.3477088948787062,1.2622,125.55,0.9308,0.7672830507174098
2022-04-12,1.3368983957219251,1.2609,125.25,0.9302,0.7674008134448623
2022-04-13,1.3458950201884252,1.2595,125.51,0.9335,0.7649938800489596
2022-04-14,1.3506212857914641,1.2628,125.92,0.9426,0.7661661048115231
2022-04-15,1.3511687609782461,1.2613,126.31,0.9431,0.765345170671973
2022-04-18,1.3599891200870393,1.262,126.77,0.9441,0.7681081496274675
2022-04-19,1.3568521031207599,1.2618,128.55,0.9482,0.7686985932815743
2022-04-20,1.3419216317767042,1.249,127.76,0.9469,0.7659900421294522
2022-04-21,1.3557483731019522,1.2526,128.62,0.9533,0.7667535654040791
2022-04-22,1.37797988149373,1.2716,128.78,0.9587,0.7783312577833126
2022-04-25,1.3991884706870015,1.2775,127.66,0.9585,0.7875255945818239
2022-04-26,1.3995801259622114,1.2796,127.37,0.961,0.792581437742728
